Hit Prop Analysis,,,,,,,,,,,,,,,,
Sorted by Hit Score (RotoWire consensus odds · TB projection · weighted hit rate · recent form),,,,,,,,,,,,,,,,
Rank,Batter,Team,Opp,Pitcher,Game Time,"Hit
Score","Hits
Odds","TB
Proj","Weighted
Hit Rate","Last 5
Hit %","Season
Hit %",Hit Notes,"DFF
Cross-Check","RW Proj
Diff %","Line
Open","Line
%Chg"
65,Michael Conforto,CHC,ATL,Reynaldo López,7:40 PM ET,31.6,55%,—,—,—,—,📈 RotoWire projects 0.93 hits vs 0.5 line (+edge) | 📊 Elite qAB% vs pitcher: 83% — works counts well (+2 pts) | ⚾ vs López (SP): 45% hit rate | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ Elevated K% (27%) | 📈 Quality trend up (form 1.11x) (+2.1 pts) | 🎯 SHARP HIT: Pwr 82 + PM 1.024 (sweet zone) — 5-slate: 100% (14/14) | 📊 wRC+ vs RHP: 121 (+1.5 hit pts),– (8.9fp),,,
66,Dylan Beavers,BAL,NYM,Jonah Tong,7:10 PM ET,31.5,58%,vs 0.5 line,64%,60%,—,📊 Solid hit rate: 64% | 📈 RotoWire projects 0.98 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.987 (low PM = 1.13x hit rate) | 💪 Power edge: 1.64 TB projected vs 0.5 line | 📈 Strong last 5: 60% hit rate (+3 pts) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ K-Warning: 26% K rate vs Tong (9.9 K/9) (-5 pts) | ⚠️ Elevated K% (26%),– (10.2fp),,,
67,Pedro Ramírez,CHC,ATL,Reynaldo López,7:40 PM ET,31.2,59%,vs 0.5 line,—,60%,—,📈 RotoWire projects 1.04 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.978 (low PM = 1.13x hit rate) | 💪 Power edge: 1.82 TB projected vs 0.5 line | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (48%) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 📈 Quality trend up (form 1.07x) (+1.3 pts),– (9.1fp),,,
68,Aaron Judge,NYY,MIN,Dean Kremer,7:40 PM ET,31.2,63%,vs 1.5 line,—,—,—,"📊 Strong hits probability (63% consensus over) | 📈 RotoWire projects 1.07 hits vs 0.5 line (+edge) | 💪 Power edge: 2.39 TB projected vs 1.5 line | ⚠️ Weak contact vs pitcher: 5% HH% (-3 pts) | 📊 Good contact vs FF: wOBA 0.369 on primary pitch type (+2 pts) | ✅ Hits well vs Kremer (SP): 70% (+2.5 pts, very small sample 0AB) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ Elevated K% (29%) | 📊 wRC+ vs RHP: 140 (+3 hit pts — elite vs this hand) | 💰 DFF CROSS-CHECK (TIER1): DailyFantasyFuel's #1-ranked batter on this team today (FPTS 13.7, slate rank #23) - independent same-day agreement, unvalidated, small bonus only.",🥇 T1 (13.7fp),,,
69,Corbin Carroll,ARI,MIA,Sandy Alcantara,9:40 PM ET,30.9,63%,vs 1.5 line,—,—,—,"📊 Strong hits probability (63% consensus over) | 📈 RotoWire projects 1.00 hits vs 0.5 line (+edge) | 💪 Power edge: 1.91 TB projected vs 1.5 line | 📊 Hard contact vs pitcher: 33% HH% (+2 pts) | 🎯 Elite contact vs SI: wOBA 0.415 on primary pitch type (+4 pts) | ⚾ vs Alcantara (SP): 67% hit rate | ⚡ Game environment boost (Env 1.069): 80.6% hit rate in sweet zone (+3 pts) | 🎯 SHARP HIT: Pwr 87 + PM 1.045 (sweet zone) — 5-slate: 100% (14/14) | 💰 DFF CROSS-CHECK (TIER1): DailyFantasyFuel's #1-ranked batter on this team today (FPTS 11.8, slate rank #40) - independent same-day agreement, unvalidated, small bonus only.",🥇 T1 (11.8fp),,,
70,V. Grissom,LAA,SEA,Kade Anderson,9:38 PM ET,30.3,64%,vs 0.5 line,—,—,—,📊 Strong hits probability (64% consensus over) | 📈 RotoWire projects 0.91 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.982 (low PM = 1.13x hit rate) | 💪 Power edge: 1.50 TB projected vs 0.5 line | ⚾ vs Anderson (SP): 25% hit rate | ⚾ vs Anderson (SP): 25% hit rate (career fade skipped: ≤20 AB sample) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚡ Game environment boost (Env 1.083): 80.6% hit rate in sweet zone (+3 pts),– (9.2fp),,,
71,Cal Raleigh,SEA,LAA,Reid Detmers,9:38 PM ET,29.7,55%,vs 0.5 line,67%,—,—,🔥 Hot hitter: 67% weighted hit rate | 📈 RotoWire projects 0.81 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.976 (low PM = 1.13x hit rate) | 💪 Power edge: 1.77 TB projected vs 0.5 line | ⚾ vs Detmers (SP): 52% hit rate | ⚡ K-Danger: 31% K rate vs elite K pitcher Detmers (11.7 K/9) (-12 pts) | ⚠️ High-K profile (31%) — significant contact risk | 📈 Quality trend up (form 1.12x) (+2.4 pts) | ⚡ Game environment boost (Env 1.083): 80.6% hit rate in sweet zone (+3 pts) | ⚠️ AVG vs RHP: 0.180 (-2 hit pts) | ⚠️ Road AVG: 0.180 (-1.5 hit pts),– (11.1fp),,,
72,Jared Young,NYM,BAL,Brandon Young,7:10 PM ET,29.5,58%,vs 0.5 line,—,60%,—,📈 RotoWire projects 1.01 hits vs 0.5 line (+edge) | 💪 Power edge: 2.14 TB projected vs 0.5 line | 📈 Strong last 5: 60% hit rate (+3 pts) | 📈 Quality trend up (form 1.06x) (+1.1 pts) | 🧤 Elite framing catcher (+9.1 runs) — tight zone (-2 pts) | 🎯 SHARP HIT: Pwr 81 + PM 1.008 (sweet zone) — 5-slate: 100% (14/14),– (9.4fp),,,
73,José Ramírez,CLE,CWS,Sean Newcomb,6:40 PM ET,27.0,63%,vs 0.5 line,—,—,—,"📊 Strong hits probability (63% consensus over) | 📈 RotoWire projects 1.11 hits vs 0.5 line (+edge) | 💪 Power edge: 2.02 TB projected vs 0.5 line | ⚾ vs Newcomb (SP): 59% hit rate | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 🎯 SHARP HIT: Pwr 80 + PM 1.000 (sweet zone) — 5-slate: 100% (14/14) | 👨‍⚖️ Umpire tight zone: removes count advantage, reduces hit quality (-3 hit pts)",🥈 T2 (9.8fp),,,
74,Mickey Moniak,COL,SD,Casey Mize,8:40 PM ET,26.1,65%,vs 1.5 line,—,—,—,📊 Strong hits probability (65% consensus over) | 📈 RotoWire projects 1.14 hits vs 0.5 line (+edge) | 💪 Power edge: 2.04 TB projected vs 1.5 line | 🎯 Elite HH% vs pitcher: 50% hard contact rate (+4 pts) | ⚾ vs Mize (SP): 60% hit rate | ⚠️ Elevated K% (28%) | 🌡️ Strong game environment (Env 1.543) — already reflected in HS baseline | 🎯 SHARP HIT: Pwr 86 + PM 1.043 (sweet zone) — 5-slate: 100% (14/14),– (10.8fp),,,
75,Miguel Rojas,LAD,CIN,Nick Lodolo,6:40 PM ET,26.0,56%,vs 0.5 line,—,60%,—,📈 RotoWire projects 1.13 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.995 (low PM = 1.13x hit rate) | 💪 Power edge: 1.87 TB projected vs 0.5 line | 📊 Hard contact vs pitcher: 29% HH% (+2 pts) | ⚾ vs Lodolo (SP): 65% hit rate | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (42%) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚡ Game environment boost (Env 1.127): 80.6% hit rate in sweet zone (+3 pts),– (8.1fp),,,
76,Eugenio Suárez,CIN,LAD,Tarik Skubal,6:40 PM ET,26.0,47%,—,59%,60%,—,📊 Solid hit rate: 59% | 📈 RotoWire projects 0.80 hits vs 0.5 line (+edge) | 🎯 Elite contact vs FF: wOBA 0.417 on primary pitch type (+4 pts) | ⚾ vs Skubal (SP): 41% hit rate | 📈 Strong last 5: 60% hit rate (+3 pts) | ⚡ K-Danger: 34% K rate vs elite K pitcher Skubal (13.5 K/9) (-12 pts) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚠️ High-K profile (34%) — significant contact risk | 📈 Quality trend up (form 1.06x) (+1.3 pts) | ⚡ Game environment boost (Env 1.127): 80.6% hit rate in sweet zone (+3 pts) | 🎯 SHARP HIT: Pwr 81 + PM 1.010 (sweet zone) — 5-slate: 100% (14/14),– (8.1fp),,,
77,Fernando Tatis Jr.,SD,COL,Tomoyuki Sugano,8:40 PM ET,24.8,49%,—,—,60%,—,"📉 RotoWire projects only 1.30 hits vs 1.5 line | ⚾ vs Sugano (SP): 33% hit rate | ⚾ vs Sugano (SP): 33% hit rate (career fade skipped: ≤20 AB sample) | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (30%) | 💪 Same-side + elite power (R vs R) — HR advantage | 📈 Quality trend up (form 1.11x) (+2.2 pts) | 🌡️ Strong game environment (Env 1.600) — already reflected in HS baseline | 🎯 SHARP HIT: Pwr 85 + PM 1.050 (sweet zone) — 5-slate: 100% (14/14) | 📊 wRC+ vs RHP: 127 (+1.5 hit pts) | 📊 AVG vs RHP: 0.289 (+1.5 hit pts) | 📊 Road AVG: 0.289 (+1 hit pt) | 💰 DFF CROSS-CHECK (TIER1): DailyFantasyFuel's #1-ranked batter on this team today (FPTS 16.9, slate rank #4) - independent same-day agreement, unvalidated, small bonus only.",🥇 T1 (16.9fp),,,
78,Kyle Tucker,LAD,CIN,Nick Lodolo,6:40 PM ET,24.4,61%,vs 0.5 line,—,—,—,"📊 Strong hits probability (61% consensus over) | 📈 RotoWire projects 1.02 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.980 (low PM = 1.13x hit rate) | 💪 Power edge: 2.05 TB projected vs 0.5 line | ⚾ vs Lodolo (SP): 67% hit rate | 🌡️ Strong game environment (Env 1.166) — already reflected in HS baseline | 💰 DFF CROSS-CHECK (TIER2): DailyFantasyFuel's #2-ranked batter on this team today (FPTS 12.0, slate rank #9) - independent same-day agreement, unvalidated, smaller bonus only.",🥈 T2 (12.0fp),,,
79,Nathaniel Lowe,CLE,CWS,Sean Newcomb,6:40 PM ET,23.2,55%,vs 0.5 line,—,—,—,"📈 RotoWire projects 1.02 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.949 (low PM = 1.13x hit rate) | 💪 Power edge: 1.81 TB projected vs 0.5 line | ⚠️ vs Newcomb (SP): 85% but ≤4 AB — tiny sample (+1.5 pts) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 👨‍⚖️ Umpire tight zone: removes count advantage, reduces hit quality (-3 hit pts)",– (7.9fp),,,
80,Francisco Alvarez,NYM,BAL,Brandon Young,7:10 PM ET,23.0,50%,vs 1.5 line,—,60%,—,📈 RotoWire projects 0.87 hits vs 0.5 line (+edge) | 💪 Power edge: 1.63 TB projected vs 1.5 line | ⚾ vs Young (SP): 20% hit rate | ⚾ vs Young (SP): 20% hit rate (career fade skipped: ≤20 AB sample) | 📈 Strong last 5: 60% hit rate (+3 pts) | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ High-K profile (31%) — significant contact risk | 🧤 Elite framing catcher (+9.1 runs) — tight zone (-2 pts) | 🎯 SHARP HIT: Pwr 85 + PM 1.049 (sweet zone) — 5-slate: 100% (14/14),– (9.2fp),,,
81,Sean Murphy,ATL,CHC,David Peterson,7:40 PM ET,22.5,53%,—,59%,—,—,📊 Solid hit rate: 59% | 📉 RotoWire projects only 0.27 hits vs 0.5 line | 📊 Contact-favorable matchup: PM 0.983 (low PM = 1.13x hit rate) | ⚾ vs Peterson (SP): 33% hit rate | ⚾ vs Peterson (SP): 33% hit rate (career fade skipped: ≤20 AB sample) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚠️ High-K profile (33%) — significant contact risk | 📈 Quality trend up (form 1.12x) (+2.4 pts) | 🧤 Poor framing catcher (-8.4 runs) — batter-friendly zone (+2 pts) | ⚠️ AVG vs RHP: 0.210 (-2 hit pts) | ⚠️ Road AVG: 0.210 (-1.5 hit pts),– (8.4fp),,,
82,Jordan Walker,STL,SF,Landen Roupp,7:45 PM ET,21.7,66%,—,—,20%,—,✅ High-consensus over: 66% of books project hit (+8 pts) | 📈 RotoWire projects 0.96 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.935 (low PM = 1.13x hit rate) | 🎯 Elite HH% vs pitcher: 50% hard contact rate (+4 pts) | 📊 Elite qAB% vs pitcher: 100% — works counts well (+2 pts) | 📊 Good contact vs SI: wOBA 0.361 on primary pitch type (+2 pts) | ⚾ vs Roupp (SP): 67% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 📉 Negative momentum | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ Elevated K% (25%) | 📉 Quality trend down (form 0.70x) (-4.0 pts) | 🧤 Elite framing catcher (+10.2 runs) — tight zone (-2 pts) | 📊 wRC+ vs RHP: 126 (+1.5 hit pts) | 📊 AVG vs RHP: 0.281 (+1.5 hit pts),– (9.6fp),,,
83,Enrique Hernández,LAD,CIN,Nick Lodolo,6:40 PM ET,21.6,54%,vs 1.5 line,—,—,—,📈 RotoWire projects 0.97 hits vs 0.5 line (+edge) | 💪 Power edge: 1.77 TB projected vs 1.5 line | ⚾ vs Lodolo (SP): 31% hit rate | ⚾ vs Lodolo (SP): 31% hit rate (career fade skipped: ≤20 AB sample) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚠️ High-K profile (33%) — significant contact risk | 📈 Quality trend up (form 1.40x) (+4.0 pts) | ⚡ Game environment boost (Env 1.127): 80.6% hit rate in sweet zone (+3 pts),– (0.0fp),,,
84,Hunter Goodman,COL,SD,Casey Mize,8:40 PM ET,21.2,66%,vs 1.5 line,—,—,—,✅ High-consensus over: 66% of books project hit (+8 pts) | 📈 RotoWire projects 1.09 hits vs 0.5 line (+edge) | 💪 Power edge: 2.02 TB projected vs 1.5 line | ⚾ vs Mize (SP): 46% hit rate | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ High-K profile (32%) — significant contact risk | 🌡️ Strong game environment (Env 1.600) — already reflected in HS baseline | 🎯 SHARP HIT: PM 1.067 + PA 4.5 — strong PM+PA contact combo,🥇 T1 (11.7fp),,,
85,Tommy Edman,LAD,CIN,Nick Lodolo,6:40 PM ET,20.4,67%,vs 1.5 line,—,20%,—,✅ High-consensus over: 67% of books project hit (+15 pts) | 📈 RotoWire projects 1.13 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.978 (low PM = 1.13x hit rate) | 💪 Power edge: 2.10 TB projected vs 1.5 line | 📊 Elite qAB% vs pitcher: 71% — works counts well (+2 pts) | ⚾ vs Lodolo (SP): 66% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 📉 Negative momentum | ⚡ Game environment boost (Env 1.127): 80.6% hit rate in sweet zone (+3 pts),– (10.6fp),,,
86,Spencer Torkelson,DET,TOR,José Soriano,7:07 PM ET,19.6,N/A,—,57%,60%,—,📊 Solid hit rate: 57% | ⚠️ Limited market signal (no hits or HR consensus over) | 📉 RotoWire projects only 0.25 hits vs 0.5 line | ⬇️ Below power line: 0.44 TB vs 0.5 | 🎯 Elite contact vs SI: wOBA 0.445 on primary pitch type (+4 pts) | ⚾ vs Soriano (SP): 64% hit rate | 📈 Strong last 5: 60% hit rate (+3 pts) | ⚡ K-Collision: 31% K rate vs Soriano (9.9 K/9) (-8 pts) | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ High-K profile (31%) — significant contact risk | 🎯 SHARP HIT: Pwr 82 + PM 1.015 (sweet zone) — 5-slate: 100% (14/14),– (7.3fp),,,
87,Jordan Lawlar,ARI,MIA,Sandy Alcantara,9:40 PM ET,17.5,52%,vs 0.5 line,—,60%,—,📈 RotoWire projects 0.82 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.989 (low PM = 1.13x hit rate) | 💪 Power edge: 1.30 TB projected vs 0.5 line | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (46%) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚠️ Elevated K% (28%),– (7.6fp),,,
88,Denzer Guzman,LAA,SEA,Kade Anderson,9:38 PM ET,17.1,58%,vs 1.5 line,—,60%,—,"📈 RotoWire projects 1.00 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.947 (low PM = 1.13x hit rate) | 💪 Power edge: 1.74 TB projected vs 1.5 line | ⚠️ Struggles vs FF: wOBA 0.185 on primary pitch type (-2 pts) | ✅ Hits well vs Anderson (SP): 75% (+2.5 pts, very small sample 0AB) | 📈 Strong last 5: 60% hit rate (+3 pts) | ⚠️ K-Warning: 27% K rate vs Anderson (9.9 K/9) (-5 pts) | ⚠️ Same-side disadvantage (R vs R) -3 pts | ⚠️ Elevated K% (27%) | ⚡ Game environment boost (Env 1.083): 80.6% hit rate in sweet zone (+3 pts) | ⚠️ wRC+ vs RHP: 70 (-2 hit pts — struggles vs this hand)",– (8.2fp),,,
89,Jackson Holliday,BAL,NYM,Jonah Tong,7:10 PM ET,15.8,56%,—,—,—,—,📈 RotoWire projects 1.05 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.986 (low PM = 1.13x hit rate) | ⚾ vs Tong (SP): 33% hit rate | ⚾ vs Tong (SP): 33% hit rate (career fade skipped: ≤20 AB sample) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ K-Risk: 24% K rate vs Tong (9.9 K/9) (-3 pts),– (8.3fp),,,
90,Hao-Yu Lee,DET,TOR,José Soriano,7:07 PM ET,15.5,61%,—,—,20%,—,📊 Strong hits probability (61% consensus over) | 📈 RotoWire projects 0.63 hits vs 0.5 line (+edge) | ⬇️ Below power line: 1.13 TB vs 1.5 | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 📉 Negative momentum | ⚠️ K-Risk: 24% K rate vs Soriano (9.9 K/9) (-3 pts) | 🎯 SHARP HIT: Pwr 81 + PM 1.028 (sweet zone) — 5-slate: 100% (14/14),– (0.0fp),,,
91,Jose Siri,LAA,SEA,Kade Anderson,9:38 PM ET,11.4,57%,vs 1.5 line,—,60%,—,❄️ Cold: 29% WHR but FF contact edge (wOBA 0.432) softens penalty (-4 pts) | 📈 RotoWire projects 0.84 hits vs 0.5 line (+edge) | 💪 Power edge: 1.68 TB projected vs 1.5 line | 🎯 Elite contact vs FF: wOBA 0.432 on primary pitch type (+4 pts) | ⚾ vs Anderson (SP): 40% hit rate | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (34%) | ⚡ K-Collision: 32% K rate vs Anderson (9.9 K/9) (-8 pts) | 💪 Same-side + elite power (R vs R) — HR advantage | ⚠️ High-K profile (32%) — significant contact risk | ⚡ Game environment boost (Env 1.083): 80.6% hit rate in sweet zone (+3 pts) | 🎯 SHARP HIT: Pwr 86 + PM 1.069 (sweet zone) — 5-slate: 100% (14/14),– (8.8fp),,,
92,Colton Cowser,BAL,NYM,Jonah Tong,7:10 PM ET,8.9,47%,—,—,—,—,"📈 RotoWire projects 0.81 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.995 (low PM = 1.13x hit rate) | ⬇️ Below power line: 1.35 TB vs 1.5 | ✅ Hits well vs Tong (SP): 78% (+2.5 pts, very small sample 0AB) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚡ K-Collision: 31% K rate vs Tong (9.9 K/9) (-8 pts) | ⚠️ High-K profile (31%) — significant contact risk",– (8.4fp),,,
93,Nolan Gorman,STL,SF,Landen Roupp,7:45 PM ET,8.0,52%,—,—,—,—,📈 RotoWire projects 0.82 hits vs 0.5 line (+edge) | 📊 Contact-favorable matchup: PM 0.995 (low PM = 1.13x hit rate) | ⚾ vs Roupp (SP): 50% hit rate | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ High-K profile (32%) — significant contact risk | 🧤 Elite framing catcher (+10.2 runs) — tight zone (-2 pts) | ⚠️ wRC+ vs RHP: 62 (-2 hit pts — struggles vs this hand) | ⚠️ AVG vs RHP: 0.187 (-2 hit pts) | ⚠️ Home AVG: 0.187 (-1.5 hit pts),– (8.2fp),,,
94,Jackson Merrill,SD,COL,Tomoyuki Sugano,8:40 PM ET,7.6,42%,vs 1.5 line,—,—,—,"⚠️ Weak hits probability (42% consensus over) | 💪 Power edge: 2.68 TB projected vs 1.5 line | ⚾ vs Sugano (SP): 32% hit rate | ⚾ vs Sugano (SP): 32% hit rate (career fade skipped: ≤20 AB sample) | 📉 Mild regression risk: last-5 (40%) ahead of season (27%) | 🌡️ Strong game environment (Env 1.543) — already reflected in HS baseline | 🎯 SHARP HIT: Pwr 82 + PM 1.024 (sweet zone) — 5-slate: 100% (14/14) | 💰 DFF CROSS-CHECK (TIER2): DailyFantasyFuel's #2-ranked batter on this team today (FPTS 15.1, slate rank #3) - independent same-day agreement, unvalidated, smaller bonus only.",🥈 T2 (15.1fp),,,
95,Otto Lopez,MIA,ARI,Corbin Burnes,9:40 PM ET,6.6,32%,—,—,60%,—,⚠️ Weak hits probability (32% consensus over) | 📉 RotoWire projects only 0.94 hits vs 1.5 line | 📊 Contact-favorable matchup: PM 0.998 (low PM = 1.13x hit rate) | ⚾ vs Burnes (SP): 43% hit rate | 📈 Strong last 5: 60% hit rate (+3 pts) | 📉 Mild regression risk: last-5 (60%) ahead of season (36%) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ Same-side disadvantage (R vs R) -3 pts | 📊 AVG vs RHP: 0.309 (+1.5 hit pts) | 📊 Road AVG: 0.309 (+1 hit pt),🥈 T2 (9.9fp),,,
96,Andrew Benintendi,CWS,CLE,Gavin Williams,6:40 PM ET,5.7,50%,—,—,—,—,"📈 RotoWire projects 0.86 hits vs 0.5 line (+edge) | 📊 Hard contact vs pitcher: 33% HH% (+2 pts) | ⚠️ Struggles vs ST: wOBA 0.254 on primary pitch type (-2 pts) | ⚾ vs Williams (SP): 62% hit rate | ⚡ K-Risk: 23% K rate vs elite K pitcher Williams (13.5 K/9) (-8 pts) | 🎯 SHARP HIT: Pwr 78 + PM 1.002 (sweet zone) — 5-slate: 100% (14/14) | 👨‍⚖️ Umpire tight zone: removes count advantage, reduces hit quality (-3 hit pts)",– (7.7fp),,,
97,Ian Happ,CHC,ATL,Reynaldo López,7:40 PM ET,5.6,56%,vs 1.5 line,—,20%,—,📈 RotoWire projects 1.01 hits vs 0.5 line (+edge) | 💪 Power edge: 1.81 TB projected vs 1.5 line | ⚾ vs López (SP): 68% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 📉 Negative momentum | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ High-K profile (30%) — significant contact risk | 🎯 SHARP HIT: Pwr 80 + PM 1.014 (sweet zone) — 5-slate: 100% (14/14),– (10.2fp),,,
98,Cole Carrigg,COL,SD,Casey Mize,8:40 PM ET,5.0,55%,—,—,20%,—,📉 RotoWire projects only 0.92 hits vs 1.5 line | ⚾ vs Mize (SP): 50% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 🌡️ Strong game environment (Env 1.600) — already reflected in HS baseline | 🎯 SHARP HIT: Pwr 82 + PM 1.003 (sweet zone) — 5-slate: 100% (14/14),– (10.8fp),,,
99,Pavin Smith,ARI,MIA,Sandy Alcantara,9:40 PM ET,5.0,N/A,—,—,—,—,📐 Stats-based estimate (no hits market data): avg=0.152 xwOBA=0.211 K%=20.0% HH%=36.5 PM=0.939 wRC+=28,– (1.9fp),,,
100,Christian Encarnacion-Strand,BAL,NYM,Jonah Tong,7:10 PM ET,5.0,N/A,—,—,—,—,📐 Stats-based estimate (no hits market data): L7=0.222 xwOBA=0.206 K%=26.9% HH%=36.5 PM=1.014 wRC+=118,– (9.0fp),,,
101,Luis García Jr.,NYY,MIN,Dean Kremer,7:40 PM ET,4.4,N/A,—,—,80%,—,"⚠️ Limited market signal (no hits or HR consensus over) | 🎯 Elite contact vs FF: wOBA 0.398 on primary pitch type (+4 pts) | ⚾ vs Kremer (SP): 50% hit rate | 🔥 Red hot last 5: 80% hit rate (+6 pts) | ⚠️ Regression risk: 80% last-5 vs 49% season (31pt gap, -4.6 pts) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 📊 wRC+ vs RHP: 134 (+1.5 hit pts) | 📊 AVG vs RHP: 0.289 (+1.5 hit pts) | 📊 Road AVG: 0.289 (+1 hit pt)",– (10.1fp),,,
102,Alec Burleson,STL,SF,Landen Roupp,7:45 PM ET,4.0,43%,vs 1.5 line,19%,20%,—,"❄️ Ice cold hitter: 19% weighted hit rate (-4 pts) | 📉 RotoWire projects only 1.21 hits vs 1.5 line | 💪 Power edge: 1.78 TB projected vs 1.5 line | 📊 Elite qAB% vs pitcher: 67% — works counts well (+2 pts) | 📊 Good contact vs SI: wOBA 0.391 on primary pitch type (+2 pts) | ⚾ vs Roupp (SP): 41% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 🧊 DOUBLE ICE COLD: WHR 19% + L5 20% — both cold signals confirmed (-10 pts) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | 🧤 Elite framing catcher (+10.2 runs) — tight zone (-2 pts) | 🎯 SHARP HIT: PM 1.067 + PA 4.5 — strong PM+PA contact combo | 📊 wRC+ vs RHP: 125 (+1.5 hit pts) | 📊 AVG vs RHP: 0.283 (+1.5 hit pts) | 💰 DFF CROSS-CHECK (TIER1): DailyFantasyFuel's #1-ranked batter on this team today (FPTS 11.4, slate rank #34) - independent same-day agreement, unvalidated, small bonus only.",🥇 T1 (11.4fp),,,
103,Pete Crow-Armstrong,CHC,ATL,Reynaldo López,7:40 PM ET,3.0,N/A,—,—,—,—,"⚠️ Limited market signal (no hits or HR consensus over) | ⚠️ Short-start alert: form less predictive vs. bullpen-heavy game (×0.97) | ⚠️ Elevated K% (26%) | 📈 Quality trend up (form 1.12x) (+2.4 pts) | 🎯 SHARP HIT: PM 1.081 + PA 4.7 — strong PM+PA contact combo | 📊 wRC+ vs RHP: 153 (+3 hit pts — elite vs this hand) | 💰 DFF CROSS-CHECK (TIER1): DailyFantasyFuel's #1-ranked batter on this team today (FPTS 12.6, slate rank #27) - independent same-day agreement, unvalidated, small bonus only.",🥇 T1 (12.6fp),,,
104,Luis Campusano,SD,COL,Tomoyuki Sugano,8:40 PM ET,2.5,36%,vs 1.5 line,23%,20%,—,❄️ Cold: 23% weighted hit rate (-7 pts) | ⚠️ Weak hits probability (36% consensus over) | 📉 RotoWire projects only 0.89 hits vs 1.5 line | 💪 Power edge: 1.63 TB projected vs 1.5 line | ⚾ vs Sugano (SP): 44% hit rate | ❄️ Ice cold last 5: 20% | 📉 Negative momentum | 💪 Same-side + elite power (R vs R) — HR advantage | 🌡️ Strong game environment (Env 1.600) — already reflected in HS baseline | 🎯 SHARP HIT: Pwr 83 + PM 1.025 (sweet zone) — 5-slate: 100% (14/14) | 📊 wRC+ vs RHP: 134 (+1.5 hit pts),– (12.4fp),,,
